NumeroFactura,FechaVenta,Precio,Cantidad,ReferenciaProducto,CodigoMarca,IdUser,MedioPago,Talla,Color,Fabricante,ClaseProducto,NombreTienda,DepartamentoTienda,CiudadTienda
fact1,2024-01-02,50411.76,1.0,ref1,marca1,id1,TARJETA DE DEBITO,talla1,color1,fabricante1,claseprod1,tienda1,VALLE DEL CAUCA,CALI
fact2,2024-01-02,17638.66,1.0,ref2,marca2,id2,EFECTIVO,talla2,color2,fabricante1,claseprod2,tienda2,BOGOTÁ D.C.,BOGOTÁ D.C.
fact3,2024-01-02,0.0,1.0,ref3,marca2,id3,TARJETA DE DEBITO,talla2,color3,fabricante1,claseprod3,tienda3,ATLÁNTICO,BARRANQUILLA
fact4,2024-01-02,8394.96,1.0,ref4,marca1,id4,TARJETA DE DEBITO,talla2,color4,fabricante2,claseprod4,tienda4,VALLE DEL CAUCA,TULUÁ
fact5,2024-01-02,33605.04,1.0,ref5,marca2,id5,TARJETA DE DEBITO,talla3,color5,fabricante1,claseprod3,tienda5,ANTIOQUIA,MEDELLÍN
fact6,2024-01-02,2932.77,1.0,ref6,marca1,id6,EFECTIVO,talla4,color6,fabricante1,claseprod1,tienda6,TOLIMA,MELGAR
fact7,2024-01-02,0.0,1.0,ref7,marca2,id7,TARJETA DE DEBITO,talla5,color7,fabricante1,claseprod5,tienda7,ANTIOQUIA,EL SANTUARIO
fact8,2024-01-02,8394.96,1.0,ref4,marca1,id8,TARJETA DE CREDITO,talla6,color4,fabricante2,claseprod4,tienda8,ANTIOQUIA,MEDELLÍN
fact9,2024-01-02,20159.66,1.0,ref8,marca2,id9,TARJETA DE CREDITO,talla7,color8,fabricante1,claseprod2,tienda9,RISARALDA,PEREIRA
fact10,2024-01-02,16802.52,1.0,ref9,marca2,id10,EFECTIVO,talla6,color6,fabricante1,claseprod3,tienda10,NARIÑO,IPIALES
fact11,2024-01-02,15957.98,1.0,ref10,marca1,id11,EFECTIVO,talla7,color9,fabricante1,claseprod1,tienda11,BOYACÁ,CHIQUINQUIRÁ
fact12,2024-01-02,70.59,1.0,ref11,marca3,id12,EFECTIVO,talla8,color10,fabricante1,claseprod6,tienda2,BOGOTÁ D.C.,BOGOTÁ D.C.
fact13,2024-01-02,9235.29,1.0,ref12,marca4,id13,EFECTIVO,talla6,color11,fabricante1,claseprod1,tienda12,HUILA,GARZÓN
